"Countries","Lat","Long","data","cases","deaths"
"Brazil",-14.235,-51.9253,2020-06-18,986750,47946
"Brazil",-14.235,-51.9253,2020-06-19,1042809,49118
"Brazil",-14.235,-51.9253,2020-06-20,1106332,50100
"Brazil",-14.235,-51.9253,2020-06-21,1086536,50683
"Brazil",-14.235,-51.9253,2020-06-22,1114728,51445
"Brazil",-14.235,-51.9253,2020-06-23,1154255,52851
"Brazil",-14.235,-51.9253,2020-06-24,1195288,53955
"Brazil",-14.235,-51.9253,2020-06-25,1236752,55135
"Brazil",-14.235,-51.9253,2020-06-26,1281636,56128
"Brazil",-14.235,-51.9253,2020-06-27,1318556,57159
"Brazil",-14.235,-51.9253,2020-06-28,1351439,57753
"Brazil",-14.235,-51.9253,2020-06-29,1372989,58475
"Brazil",-14.235,-51.9253,2020-06-30,1412669,59792
"Brazil",-14.235,-51.9253,2020-07-01,1459494,60878
"Brazil",-14.235,-51.9253,2020-07-02,1503895,62137
"Brazil",-14.235,-51.9253,2020-07-03,1546935,63350
"Brazil",-14.235,-51.9253,2020-07-04,1580502,64410
"Brazil",-14.235,-51.9253,2020-07-05,1605695,64968
"Brazil",-14.235,-51.9253,2020-07-06,1630149,65653
"Brazil",-14.235,-51.9253,2020-07-07,1676848,66953
"Brazil",-14.235,-51.9253,2020-07-08,1722098,68126
"Brazil",-14.235,-51.9253,2020-07-09,1765060,69348
"Brazil",-14.235,-51.9253,2020-07-10,1809371,70646
"Brazil",-14.235,-51.9253,2020-07-11,1844318,71578
"Brazil",-14.235,-51.9253,2020-07-12,1867976,72195
"Brazil",-14.235,-51.9253,2020-07-13,1890869,73030
"Brazil",-14.235,-51.9253,2020-07-14,1933791,74324
"Brazil",-14.235,-51.9253,2020-07-15,1973933,75604
"Brazil",-14.235,-51.9253,2020-07-16,2017616,76903
"Brazil",-14.235,-51.9253,2020-07-17,2052234,78026
"Brazil",-14.235,-51.9253,2020-07-18,2077987,78870
"Brazil",-14.235,-51.9253,2020-07-19,2101399,79578
"Brazil",-14.235,-51.9253,2020-07-20,2124152,80346
"Brazil",-14.235,-51.9253,2020-07-21,2171079,81663
"Brazil",-14.235,-51.9253,2020-07-22,2237229,82959
"Brazil",-14.235,-51.9253,2020-07-23,2294555,84272
